疾病分類,疾病名稱,症狀,併發症,危險族群,科別,部位
身心精神,社交畏懼症（SAD）,"十分口乾,流汗,心跳加速,心悸,經常想去大小便,手指腳趾麻痺或有被針刺的感覺 (當呼吸太急促時候容易出現)","憂鬱症,懼曠症 (廣場畏懼症),藥物與酒精成癮","具有家族遺傳因子,曾受過嚴重創傷",身心醫學科、精神科,腦部
身心精神,精神官能症,"在精神方面，主要呈現焦慮、憂鬱、緊張、害怕、不安等心理症狀，記憶力變差、同時也會出現失眠的症狀。,在生理方面，會出現胸悶、心跳加快、心悸、呼吸困難、消化不良、腹瀉或便秘、頻尿或月經失調的現象。也可能出現口乾舌燥、手腳顫抖、冒冷汗、全身痠痛等症狀。","自殺、自殺未遂以及出現自殺的念頭,酗酒與藥物濫用問題,影響工作效率以及成效,無法進行正常社交活動,生活品質降低","個性較為敏感、對小事容易緊張的人,要求完美、過度自責且執著好強的人,缺乏自信、無法自我肯定且容易受影響的人,心理上缺乏安全感的人",身心醫學科、精神科,腦部
耳鼻喉科,口臭,"嘴臭,嘴苦,口乾舌燥,髮乾,牙齦腫痛,發燒,舌苔,腸胃脹氣,消化不良,胸悶,便祕,頻尿,胃痛,煩躁,失眠,疲倦","牙周病,齲齒,口瘡,牙齦炎,疱疹性牙齦口腔炎,慢性鼻竇炎,急慢性胃炎,胃潰瘍,腸炎,十二指腸潰瘍,反胃性食道炎,幽門螺旋桿菌感染,肝炎,慢性支氣管炎,支氣管腫瘤,肺結核,痔瘡,糖尿病,胃癌","有口腔相關疾病或問題的人，如慢性牙周病、牙齦炎、蛀牙、口內炎、舌炎等患者，或口腔衛生習慣不佳，不喜刷牙、戴不潔淨的假牙、牙套者。,患有全身性疾病的人，與新陳代謝或內分泌方面有關，如糖尿病、腎臟病、肝臟病患者；或正值生理期及更年期的女性。,有腸胃疾病、消化系統方面問題的人，如長期便祕、胃潰瘍、胃食道逆流、腸胃炎、胃出血、胃癌、及感染幽門螺旋桿菌。,有呼吸道方面問題的人，包括：慢性支氣管炎、支氣管腫瘤、鼻子過敏、鼻竇炎、鼻涕倒流者。,口腔唾液腺功能不佳者，口水分泌過少易使細菌累積滋生造成口臭。如高齡者唾液腺衰退，或接受化療的癌症患者唾液腺功能受抑制。或常服用某些特殊藥物如抗組織胺、抗巴金森疾病藥物、化療藥物、利尿劑、安非他命等，也易引發口臭。,經常吸菸、喝酒、或嚼食檳榔的人。,大量攝食口味重的刺激性食物者，如大蒜、洋蔥、韭菜、醃燻肉類等。,長期處於高壓力狀態、情緒不佳的人。","家醫科,牙科,胃腸肝膽科",口腔
耳鼻喉科,口腔癌,"口腔黏膜變白,口腔出現紅白斑或紅斑,口腔腫塊,口腔潰瘍久不癒合,口腔不明出血,頸部硬塊,舌頭知覺喪失,舌側緣出現周圍變硬的腫塊或潰瘍",癌細胞轉移或侵犯鄰近部位（肝臟、肺部、骨骼或顱底、口咽、下咽等）,"在25到44歲男性，為台灣十大癌症之口腔癌最常見者。,長期嚼食檳榔、吸菸及喝酒過量者。","牙科,耳鼻喉科,整型外科,口腔顎面外科,口腔病理及診斷科,腫瘤內科,放射腫瘤科",口腔
耳鼻喉科,流行性感冒（流感）,"發燒,打噴嚏,咳嗽,流鼻涕,鼻塞,頭痛,喉嚨痛,全身痠痛","肺炎,心肌炎,中耳炎,鼻竇炎,腦炎","2歲以下幼兒。,65歲以上老人。,慢性病患者或孕婦。","家醫科,耳鼻喉科,內科","咽喉,鼻"
耳鼻喉科,感冒,"打噴嚏,咳嗽,流鼻涕,鼻塞,頭痛,喉嚨痛","鼻竇炎,支氣管炎,中耳炎,肺炎","2歲以下幼兒。,65歲以上老人。,慢性病患者。","耳鼻喉科,家醫科","咽喉,鼻"
耳鼻喉科,過敏性鼻炎,"打噴嚏,眼睛癢,耳朵癢,鼻塞,流鼻涕,鼻涕倒流,頭暈,注意力無法集中,黑眼圈","鼻竇炎,睡眠障礙,失眠,中耳炎,哮喘,嗅覺異常,腦膿瘍","過敏性體質者。,雙親為過敏性鼻炎患者。","耳鼻喉科,家醫科",鼻
耳鼻喉科,龐貝氏症,"四肢活動力差,頭部控制力差,心臟肥大,肝臟腫大,舌頭肥大,呼吸困難,呼吸系統受損,逐漸肌肉無力,行動時感到疲憊,心臟受損,呼吸短促,睡眠中呼吸暫停症候群,嗜睡,早晨性頭痛",─,罹病關鍵來自父母的基因。若父母雙方都是帶因者，生下的子女有25%的機率罹患龐貝氏症。,"需要跨科醫療含(小兒與成人)：,遺傳科,神經科,心臟科,胸腔科,胃腸肝膽科,骨科,復健科,耳鼻喉科",肌肉，不同部位的肌肉功能會因為疾病而逐漸退化。
耳鼻喉科,鼻竇炎,"頭痛,鼻塞,發燒,流黃鼻涕,咳嗽,鼻涕倒流","失明,敗血症,蜂窩性組織炎,眼窩膿瘍,腦膜炎,腦膿瘍","過敏性鼻炎患者。,有抽菸習慣者。",耳鼻喉科,鼻
耳鼻喉科,慢性鼻炎,"鼻塞,耳悶塞感,重聽,流鼻涕,打噴嚏","睡眠呼吸中止症,中耳炎,鼻竇炎,過敏性鼻炎,鼻中膈彎曲","過敏性鼻炎患者。,有抽菸習慣者。,心臟病、高血壓患者。",耳鼻喉科,鼻
耳鼻喉科,中耳炎,"耳痛,耳鳴,鼻塞,發燒,聽力減退","聽力受損,中耳積水,腦部感染,鼻炎,鼻竇炎,咽喉炎,顏面神經麻痺,腦膜炎,腦膿瘍","學齡前孩童，在托兒所照護，家長有吸菸習慣。,常躺著進食，及上呼吸道感染的孩童。",耳鼻喉科,耳
耳鼻喉科,睡眠呼吸中止症,"打呼,打鼾,嗜睡,精神不濟","高血壓,心律不整,心臟病,蛋白尿,心肌梗塞,心衰竭,猝死,糖尿病","40歲以上的肥胖男性。,更年期女性。,頸圍較粗或先天顱顏異常者。","耳鼻喉科,神經科,身心精神科,呼吸胸腔科",鼻
耳鼻喉科,梅尼爾氏症,"耳塞,眩暈,耳鳴,重聽,噁心,嘔吐",聽力喪失,30~50歲的成年人。,耳鼻喉科,耳
耳鼻喉科,口瘡,"唇破,舌破,頰內潰爛,牙齦紅腫,進食痛,灼熱感,口乾舌燥","口腔炎,口腔癌,扁平苔癬症,貝歇氏病,潰瘍性結腸炎","生活壓力大，情緒緊張，過度疲勞，經常熬夜睡眠不足的人。,本身體質較虛弱，免疫力缺乏者。,營養不均衡的人，尤其缺乏維生素B12、鐵、葉酸。,飲食習慣嗜吃刺激性食物的人，如燒烤類、油炸類、豆類、巧克力、洋芋片、麻辣鍋等，或吃太多熱性（上火）食物的人，如龍眼、荔枝、榴槤、釋迦、蒜等，以及愛吸菸喝酒的人。,內分泌失調者，例如生理期來之前一週內的女性及更年期婦女，因為體內荷爾蒙的變化很容易誘發口瘡。","家醫科,耳鼻喉科,牙科,風濕過敏免疫科",口腔
耳鼻喉科,眩暈症,"頭暈,耳鳴,身體失去平衡,感覺快昏倒,感覺周圍空間及景物晃動","噁心,嘔吐,冒冷汗","1.引起眩暈症的疾病中，前庭神經炎好發於30 – 60 歲的中年人；梅尼爾氏症則好發於30-50 歲,2.作息不規律、生活壓力大、時常處於焦慮中者",耳鼻喉科、一般內科、神經科、神經內科,頭部
耳鼻喉科,扁桃腺炎,"嚴重的喉嚨痛,吞嚥困難,吞嚥時會痛,發出沙沙聲,咳嗽,口臭,發燒,缺乏食慾,頭痛,脖子僵硬,顎下淋巴結腫大,扁桃腺出現白色或黃色的點,張開嘴巴有困難,疲勞","猩紅熱,風濕熱,風濕性心臟病,腎絲球腎炎,中耳炎,支氣管炎,氣管炎,鼻竇炎,側扁桃膿瘍,後咽部膿瘍",3~10歲的兒童,耳鼻喉科、小兒科,咽喉
耳鼻喉科,腮腺炎（豬頭皮）,"臉部疼痛,臉部腫脹,頭痛,發燒,噁心,畏寒,喉嚨痛,腮腺腫大","顏面神經麻痺,腮腺膿瘍,蜂窩性組織炎,臉部凹陷,臉部畸形,睪丸炎,卵巢炎,腦膜炎,耳聾",4~9歲兒童。,耳鼻喉科,臉
耳鼻喉科,鼻咽癌,"頭頸部腫大,單側耳塞,持續性耳鳴,聽力障礙,單側鼻塞或鼻涕增多,頭痛,口鼻不明原因滲血,鼻腔蓄膿,眼球內斜,複視,視力模糊,臉部知覺麻痺",癌細胞轉移（肝臟、肺臟、骨頭等）,"40歲以上的男性。,有鼻竇炎病史者。","血液腫瘤科,耳鼻喉科",鼻
耳鼻喉科,鼻中膈彎曲,"鼻塞,流鼻血,流鼻涕,頭痛","鼻中膈穿孔,鼻竇炎,慢性咽喉炎,慢性肥厚性鼻炎,睡眠呼吸中止症",鼻部外傷者。,耳鼻喉科,鼻
耳鼻喉科,唾液腺結石,"下巴疼痛,頸部腫脹,腺體腫塊及化膿,發燒,吞嚥困難,呼吸困難","急性化膿性唾液腺炎,唾液管擴張,唾液管慢性纖維化狹窄,膿瘍,深頸部感染,敗血症,蜂窩性組織炎","中年男性,抽菸,口腔衛生不佳(牙科疾病、嚼食檳榔…等),體內水份缺乏者,乾燥症候群患者,唾液腺慢性發炎者,唾液腺外傷者",耳鼻喉科,頭頸部及口腔
耳鼻喉科,口腔扁平苔蘚,"口腔黏膜白色條紋,口腔黏膜網狀斑塊,口腔黏膜潰瘍,口腔黏膜疼痛出血,牙齦發炎紅腫","口腔癌,續發性口腔黴菌感染,憂鬱症,營養不良,體重下降","中年婦女,免疫力低下者,服用特定藥物者，如：降血壓、降血糖藥物",牙科、口腔顎面外科、口腔內科、耳鼻喉科,口腔
耳鼻喉科,口腔黏膜白斑症,"頰黏膜白斑,舌白斑,牙齦白斑,唇黏膜白斑,病灶外觀呈白色或灰白色的斑塊，分布在口內頰黏膜、舌表面與舌側緣，而唇黏膜、牙齦、口底、腭部、嘴角內側（唇聯合）等處亦可能出現。此異樣斑塊無法以擦拭法刮除，臨床上患者一開始並無自覺感，後來以舌尖碰處該處黏膜會有粗糙感，少數會對辛辣和刺激性的食物逐漸變敏感","口腔癌,口腔黏膜紅斑症","長期有不良口腔習慣的人，如老菸槍、檳榔族、酒癮者。,長期遭受口內外傷刺激的人，如假牙、銳牙、問題智齒或齲齒造成黏膜反覆受創（外觀雖如白斑，但診斷名為「磨擦性角質病」)。,臨床病例以40歲以上男性居多。","牙科,耳鼻喉科",口腔（口腔黏膜）
耳鼻喉科,口腔黏膜下纖維化症,"口腔黏膜泛白,硬化失去彈性,有時會起水泡/潰瘍，或有纖維化帶,張口困難,進食困難,吞嚥困難,對辣味食物敏感、疼痛,味覺減退,口乾,耳痛,喉痛,鼻音","口腔黏膜白斑症,口腔黏膜紅斑症,疣狀增生,失聰,口腔癌,鱗狀細胞癌,疣狀癌",現在或曾經嚼食檳榔的人。口腔黏膜下纖維化症患者百分之百都有吃檳榔的習慣；而嚼食檳榔的人，罹患口腔黏膜下纖維化症的機率比罹患口腔癌更高。,"牙科,耳鼻喉科",口腔（口腔黏膜）
耳鼻喉科,膽脂瘤,"耳朵流膿,耳臭,耳脹,耳鳴,耳痛,聽力減退,聽力喪失,顏面神經麻痺,臉歪嘴斜,吞嚥困難,不平衡感,眩暈,頭痛","腦膜炎,腦炎,腦膿瘍,聽力障礙,平衡功能缺失,內耳瘻管,眩暈,顏面神經麻痺,乳突炎,側靜脈竇血栓,腦疝脫","慢性中耳炎不治療，或反覆發生中耳炎者，很容易併發膽脂瘤。,先天性膽脂瘤的好發年紀平均年齡為4.5歲，以男生的比率較多，因孩童的耳咽管又短又平，較容易引發中耳積水。,唇顎裂的孩童是原發後天性膽脂瘤的高危險群,中耳負壓、耳咽管功能不佳持續收縮、中耳積水等造成耳膜內凹，較容易引發珍珠瘤",耳鼻喉科,耳
耳鼻喉科,扁桃腺癌,"單側脖子腫大,單側喉嚨疼痛,吃東西感到無味,單側耳朵疼痛,單側耳鳴,吞嚥困難,張口困難,吞嚥時異物感、頸部腫脹疼痛、口腔潰瘍,扁桃腺腫脹",惡性腫瘤淋巴腺轉移,"菸、酒、檳榔接觸史,有不安全的性生活、得過人類乳突病毒感染者,男性發病機率大於女性",耳鼻喉科、血液腫瘤科,頭頸部扁桃腺
耳鼻喉科,突發性耳聾,"聽力損失,耳鳴,耳悶,部分合併眩暈","聽力損失,耳鳴,眩暈","可以發生在任何年齡的人身上，男女相當。但常見發病年齡大多在 40至60 歲。,血液循環有問題的患者。",耳鼻喉科,耳朵
耳鼻喉科,舌癌,"紅斑,白斑,菜花型腫塊,疣型腫塊,疼痛,吞嚥困難,出血,麻木感,舌部運動困難,潰瘍或傷口長期不癒","頸部淋巴轉移,口腔大量出血,死亡","吃檳榔者,抽菸者,飲酒者,常吃過燙食物者,佩戴不適合之假牙者、長期不佳的牙齒狀況",耳鼻喉科、口腔外科、腫瘤科,口腔
耳鼻喉科,喉癌,"聲音沙啞（持續兩週以上）,咳嗽,痰中帶血,分泌物增加,呼吸困難,吞嚥疼痛,喉嚨痛","頸部淋巴轉移,死亡","60-80歲男性,好吸菸者,好飲酒者",耳鼻喉科、血液腫瘤科,口腔
過敏・免疫與血液疾病,氣喘,"咳嗽,呼吸聲音很大,呼吸急促,胸悶,呼吸困難,夜咳,喘鳴","肺氣腫,氣胸,呼吸衰竭,猝死,肺水腫,慢性阻塞性肺炎","家族有氣喘病史者或過敏者。,自童年即有呼吸道症狀者。,有過敏性鼻炎或異位性皮膚炎者。",呼吸胸腔科,"氣管,胸部"
過敏・免疫與血液疾病,過敏,"打噴嚏,鼻癢,鼻塞,流鼻水,流眼淚,眼睛癢,眼睛紅,皮膚癢,起疹,紅腫,咳嗽,氣喘,胸悶,嘔吐,腹悶,腹瀉,發燒,頭痛,倦怠,睡眠品質差,呼吸有雜音,呼吸困難,心跳急速加快,胃痙攣,腸絞痛","皮膚苔蘚化,分心症,咳嗽,血管性水腫,休克","父母親一人以上帶有過敏病史，因遺傳而有過敏體質的人。,居住或工作場所需長時間仰賴密閉空調者。,身處都會區的人，由於空氣汙染嚴重，人口和大樓密集，環境髒亂，潛藏更多過敏原。","風濕過敏免疫科,家醫科,皮膚科,小兒科,眼科,耳鼻喉科","免疫系統,上呼吸道,眼睛,皮膚,胃腸道"
過敏・免疫與血液疾病,過敏性鼻炎,"打噴嚏,眼睛癢,耳朵癢,鼻塞,流鼻涕,鼻涕倒流,頭暈,注意力無法集中,黑眼圈","鼻竇炎,睡眠障礙,失眠,中耳炎,哮喘,嗅覺異常,腦膿瘍","過敏性體質者。,雙親為過敏性鼻炎患者。","耳鼻喉科,家醫科",鼻
過敏・免疫與血液疾病,異位性皮膚炎,"皮膚乾燥,皮膚敏感,搔癢,紅疹,丘疹,脫屑,關節部皮膚增厚,皮膚變粗,破皮,滲出體液,水泡,結痂,毛孔角質化","過敏性氣喘,過敏性鼻炎,尋常性魚鱗癬,皮膚苔蘚病變,紅皮症,富貴手,白內障,金黃色葡萄球菌感染,疱疹病毒感染,慢性濕疹,皮膚病變,毛囊炎","帶有異位性體質的人，在個人或家族成員裡，已有相關病史，例如罹患氣喘、過敏性鼻炎、或異位性皮膚炎等疾病。,細胞免疫功能本身有缺陷者。,身處過熱或乾燥環境的人。,長期情緒壓力過大，容易感到焦躁的人。","皮膚科,風濕過敏免疫科",皮膚
過敏・免疫與血液疾病,痛風,"急性關節炎,腳大姆指關節（或其它關節）紅腫及灼熱劇烈疼痛,多個關節發炎,關節僵直,關節變形,腎臟或軟組織內結石","高血壓,心肌梗塞,心臟病,腦梗塞,泌尿系統結石,腎病變,尿毒症,腦中風,心血管疾病","男性,肥胖,40歲以上,停經婦女,代謝異常,有痛風家族史,酗酒,腎功能不全,高血壓,進食過多富含嘌呤的食物,接觸環境中的鉛,接受過器官移植",風濕免疫科,四肢
過敏・免疫與血液疾病,蕁麻疹,"皮膚充血,皮膚發紅,局部水腫,皮疹,團塊,皮膚發炎,皮膚搔癢,膨疹,組織液滲透,紅斑,紅腫,全身不適,腹痛,腹瀉,頭痛,高燒,畏寒,乏力,血壓下降,關節痛","膿皮病,局部淋巴結腫大,血壓下降,休克,窒息","過敏體質者。,基因中或家族裡有蕁麻疹病史的人。,感染特殊病毒或細菌，例如肝炎病毒、金黃色葡萄球菌、真菌、蛔蟲等的人。,具有慢性腸胃疾病、代謝功能欠佳的人。,內分泌失調者。,一次吃進過多的海鮮又同時大量飲酒的人。,讓皮膚處在溫度過冷或過熱（包含體溫）的人。,壓力過大的人。,風溼病患者。,吸食或注射毒品者，引發蕁麻疹的風險較一般人高。","皮膚科,家醫科,風濕過敏免疫科",皮膚
過敏・免疫與血液疾病,"乾癬（銀屑病,牛皮癬）","紅斑,丘疹,脫屑,搔癢,紅色薄膜,點狀出血,乾裂,疼痛,乾癢","貧血,類風濕性關節炎,關節病變,關節變形蜂窩性組織炎,憂鬱症,心肌梗塞,糖尿病","家族中有乾癬病史的人。,生活作息不正常、壓力大、免疫功能不佳者。,內分泌嚴重失調者。,介於二十至三十歲的年輕男性、以及六十多歲的年長男性。女性也會發病，但機率少於男性。","皮膚科,家醫科","皮膚,關節"
過敏・免疫與血液疾病,敗血症,"發燒,寒顫,心跳過快,抽筋,呼吸急促,心跳加快,意識改變,低血壓,呼吸性鹼中毒,體溫過低,白血球異常,腹痛,咳嗽,喘,食欲不振,噁心嘔吐,腹脹,肌肉痛,關節痛,皮疹","多重器官衰竭,急性肺部損傷,腎功能衰竭,死亡","新生兒及老年人為好發族群，因該族群免疫力較弱。,加護病房的重症病患，因其免疫力低下。,接受化學治療的腫瘤病患，因其白血球減少、抵抗力變弱，容易讓病原菌入侵身體而併發感染。,燒燙傷、車禍、槍傷等遭受嚴重外傷者。,愛滋病、酒精中毒、接受免疫抑制劑治療等免疫機能低下者。,糖尿病、肝硬化、慢性腎衰竭等慢性疾病者。,感染肺炎鏈球菌者，可能併發嚴重敗血症，甚至敗血性休克。",感染科,血液
過敏・免疫與血液疾病,皮膚過敏,"皮膚過敏,發癢,患部紅腫,泛紅,乾屑,脫皮,水皰,病灶結痂,滲出體液,皮疹,色素沉澱,毛孔粗大,粉刺,青春痘,色斑,老化皺紋","打噴嚏,流鼻水,流眼淚,胸口緊繃,胸部麻木,胸部腫脹,氣管腫脹,呼吸道阻塞,過敏性休克,心悸","與基因有關，本身就是敏感性膚質的人、或體質較敏感的人。,年長者。年齡增長是肌膚變敏感的重要因素之一，隨著年齡的增長，覆在皮膚表面有一層弱酸性的皮脂膜會比較不如年輕時健康，以至於一些致敏物質容易入侵皮膚，造成過敏。,經常塗抹化妝品、對化妝品敏感的女性。,從事特殊職業，必須經常接觸藥物、化學劑、花粉、粉塵、寵物者。,長期暴露或生活在強烈日照、紫外線、紅外線、煙霧、空氣汙染等環境中的人，都比較容易引發皮膚過敏。,內分泌紊亂者，肌膚的自我修護功能較差。,長期處於壓力、精神緊張或情緒低落的人。","皮膚科,家醫科,風溼過敏免疫科",皮膚
過敏・免疫與血液疾病,類風濕性關節炎,"倦怠虛弱,精神不濟,食慾不振,體重減輕,關節紅腫熱痛,晨僵現象關節僵硬,關節變形,肌肉萎縮,皮下結節,類風濕結節,發燒,肌腱炎,肌腱斷裂,滑膜炎",乾眼症,"40歲以上中壯年族群，女性較男性易罹患此病（男女比例約為1：3）。,白種人較黃種人的盛行率為高。,有類風濕性關節炎家族史者，罹病機率會增加。,吸菸者是已知的環境誘發因子。",風濕過敏免疫科,"四肢周邊關節,肌肉,肌腱,皮膚,眼睛,心臟,肺臟,血管,神經"
過敏・免疫與血液疾病,口瘡,"唇破,舌破,頰內潰爛,牙齦紅腫,進食痛,灼熱感,口乾舌燥","口腔炎,口腔癌,扁平苔癬症,貝歇氏病,潰瘍性結腸炎","生活壓力大，情緒緊張，過度疲勞，經常熬夜睡眠不足的人。,本身體質較虛弱，免疫力缺乏者。,營養不均衡的人，尤其缺乏維生素B12、鐵、葉酸。,飲食習慣嗜吃刺激性食物的人，如燒烤類、油炸類、豆類、巧克力、洋芋片、麻辣鍋等，或吃太多熱性（上火）食物的人，如龍眼、荔枝、榴槤、釋迦、蒜等，以及愛吸菸喝酒的人。,內分泌失調者，例如生理期來之前一週內的女性及更年期婦女，因為體內荷爾蒙的變化很容易誘發口瘡。","家醫科,耳鼻喉科,牙科,風濕過敏免疫科",口腔
過敏・免疫與血液疾病,脂漏性皮膚炎,"皮膚出油,皮膚乾燥,發癢,發紅,發炎,脫屑,乾屑,紅斑,出疹,黃色皮鱗屑,黃褐色結痂,搔癢,破皮糜爛,掉髮,頭皮油垢","禿髮,酒糟紅臉症,頭皮屑,青春痘,毛囊炎,異位性皮膚炎","週歲以下的新生兒，由於剛出生的皮脂腺活動分泌較為旺盛，因此發病率也高。,30～60歲的中年人，臨床上男性多於女性。,雙親其中患有脂漏性皮膚炎，遺傳至下一代的體質將有較高的發病率。,內外因素導致內分泌失調者，例如長期生活作息不規律、熬夜、工作壓力過大、或女性經期症候群等。,肌膚代謝紊亂者，易使表皮原本共存的皮屑芽孢菌（黴菌）等大量滋生，進而引起發炎。,皮膚受外部化學刺激，如使用刺激性的染燙劑、造型、清潔、護膚用品的人。,飲食習慣不佳者，如愛吃高熱量、高油脂或刺激性的食物，及缺乏維生素B2或B6的人。,過度使用熱水洗臉，蒸臉，三溫暖等。,免疫功能不佳者，皮膚抵抗力較差的族群，如洗腎及愛滋病患等。,其他如老年人或中風、維生素B2或B6缺乏、帕金森氏症、心血管疾病等。",皮膚科,皮膚
過敏・免疫與血液疾病,酒糟性皮膚炎,"紅臉,紅鼻子,搔癢,刺痛,灼熱,紅色丘疹,膿皰,眼睛乾澀,紅眼,結膜發炎,眼皮發炎,畏光,局部纖維化,軟組織增生,皮膚凹凸不平","鼻腫瘤痘痘,類固醇皮膚炎","十到二十幾歲的年輕男女，特別是皮膚白皙的女性發病率最高。,遺傳體質屬酒糟肌膚，也就是表層血管對於熱相當敏感的人。,內分泌嚴重失調，作息日夜顛倒的人。,長期嗜吃辛辣食物與愛喝酒的人。",皮膚科,"皮膚,臉"
過敏・免疫與血液疾病,汗疱疹,"起水泡,騷癢,紅腫,破皮,脫屑,結痂,刺痛","皮膚苔蘚化,蜂窩性組織炎,淋巴管腺炎,細菌感染","本身帶有過敏基因或體質溼熱，及罹患異位性皮膚炎、香港腳等皮膚病的人。,經常處於高溫悶溼的環境下，或受強烈日光照射刺激的人。,情緒不穩定、壓力過大，內分泌嚴重失調的人。,反覆接觸水及化學溶劑的人，例如清潔劑、亮光劑、髮膠、洗髮精等，甚至是含香精的肥皂。,對特定金屬過敏的人，攝食過多含鎳、鈷、鉻的食物，像是馬鈴薯、豆科食物、肝臟、堅果、扇貝、麵粉、洋蔥、香菇等。",皮膚科,"皮膚,手部,腳部"
過敏・免疫與血液疾病,僵直性脊椎炎,"下背痛,臀部酸痛,胸痛,晨僵,疲勞,體重減輕,手指腳趾腫脹疼痛,運動範圍受限,肌腱或韌帶與骨骼交接處發炎,上下肢關節炎,眼睛紅痛,視力模糊,畏光,駝背",葡萄膜炎,"男性較女性易罹患此病，男女比例約為3：1。,20～40歲的青壯年族群。,有僵直性脊椎炎家族史者，罹病機率會增加。",風濕過敏免疫科,"脊椎,薦腸骨關節,脊椎周邊肌腱韌帶"
過敏・免疫與血液疾病,血癌（白血病）,"貧血,皮膚點狀出血,皮膚青腫,發燒,淋巴結腫大,骨頭疼痛,關節痛,牙齦腫脹,肝脾腫大,頭痛,嘔吐,心包膜積水,肋膜腔積水,心臟衰竭,呼吸困難,心跳加快,有倦怠感,體重減輕,帶狀皰疹,肺炎","癌細胞轉移（淋巴結、脾藏、肝藏、中樞神經系統）,腦出血昏迷,腸胃道大出血休克,敗血症,心肺衰竭","家族病史有血癌者。,長期接觸有機苯的工人。,曾接受過放射治療或化學治療的病人。,急性淋巴球性白血病好發於10歲以下兒童、急性骨髓性白血病好發於成年人，約75％新診斷病人大於60歲、慢性淋巴球性白血病好發於50歲以上中老年人。",血液腫瘤科,血液
過敏・免疫與血液疾病,全身型膿疱性乾癬（GPP）,"黃色無菌膿皰,發燒,脫皮,發紅,疼痛,灼痛,發癢,疲勞,關節疼痛,白血球數量增多","呼吸衰竭,心臟衰竭,脫水,敗血症","40-59歲的成人或孩童,精神壓力,低副甲狀腺素,懷孕",皮膚科,皮膚、關節
過敏・免疫與血液疾病,高血脂,"血濁,黃色瘤,黃斑瘤,頭暈,目眩,胸悶,嗜睡,心悸,頭痛,氣短,乏力,手腳麻木","高血壓,糖尿病,甲狀腺機能低下,腦血管疾病,腦中風,動脈硬化,動脈瘤,冠狀動脈心臟病,心絞痛,心肌梗塞,急性胰臟炎,急性膽囊炎,腎臟病,尿毒症,四肢末稍壞死症,猝死","四十歲以上、體重過重者。,家族中已有高血脂病史、先天性基因缺陷的人。,飲食習慣方面，經常攝取過多高膽固醇或高糖分的人，例如肉食主義者、愛吃肥肉、高油脂、炸物、動物內臟、蛋黃、奶製品、有殼海鮮及精緻甜點等食品。,長期過量飲酒與吸菸的人。,經常光顧吃到飽餐廳，導致總熱量攝取過多的人。,長期缺乏運動者。,長期生活緊張、工作壓力過大的人。","代謝內分泌科,心臟血管科,家醫科",血液
過敏・免疫與血液疾病,皮肌炎,"皮疹,肌肉無力,體重減輕,發燒","鈣質沉著,肺部感染,心血管疾病",好發於40-50歲，但小孩或成人皆有可能罹病。,風濕免疫科,眼部、口部、皮膚、關節
過敏・免疫與血液疾病,風濕熱,"關節紅腫熱痛,關節僵硬,環形紅斑,身體發熱","心肌炎,風濕性心臟病",A族溶血性鏈球菌的易感族群為5~15歲的孩童，因此風濕熱也好發於此年齡層。,風濕過敏免疫科,"肌肉,肌腱,韌帶,關節"
過敏・免疫與血液疾病,硬皮病,"手指出現白、藍、紅色,皮膚腫脹緊繃,皮膚緊縮硬化,皮膚纖維化,手指末端蒼白,手指變硬,關節疼痛,手指／腳趾過度痙孿收縮,嘴唇變薄,張口幅度變小,消化道硬化,吞嚥困難,呼吸困難,乾咳","肺間質性肺炎,肺纖維化,下肢水腫,肺高壓,心肺衰竭,急性腎衰竭,皮膚潰瘍,心律不整",null,過敏免疫風濕內科,全身
過敏・免疫與血液疾病,天疱瘡,"1. 尋常型天疱瘡：早期病灶為清澈小水皰，突然出現於外觀正常的皮膚，水皰約1cm大小，且水皰頂端很薄、極易破裂。通常病灶最早出現在病人口腔黏膜，其次侵犯頭皮、鼠蹊部及摩擦部位，女性病人外陰及陰道也可能出現，若未妥善治療，晚期可波及至全身。
2. 增殖型天疱瘡：水皰好發於摩擦部位，如腹股溝、手肘，以及面部及頭皮。臨床除了水皰外，還有糜爛處呈乳頭狀增殖，因滲出液及皮膚上厚痂產生，易有惡臭。
3. 落葉型天疱瘡：水皰不易發現，但脫屑結痂性糜爛的病兆周圍繞著紅斑。早期病灶好發於皮脂腺旺盛部位，如頭皮、面部、軀幹上半身等處，外觀類似嚴重的脂漏性溼疹。因臨床早期呈現水皰外，另有大片葉狀脫屑，故有落葉天疱瘡之名。嚴重者可呈現剝落性紅皮症。日光或高溫可導致惡化。與尋常天疱瘡不同處在於，即使病灶波及全身，卻很少侵犯黏膜。
4. 紅斑型天疱瘡：臨床呈現脫屑及痂皮病灶，好發於面頰及皮脂旺盛區域。本病可持續穩定多年或演變為廣泛型落葉天疱瘡。",若沒有及時治療，當引發全身性天疱瘡時，會有全身燙傷脫皮，容易血漿流失及受細菌感染，大面積脫皮還需住燒燙傷病房換藥治療，嚴重者會有繼發性感染，甚至死亡，一年內死亡率高達75%。,null,皮膚科、免疫風濕科,皮膚
